id,task_id,attempt_number,status,input_data,output_data,error_message,started_at,finished_at
11,6,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Sky Reaper Rice Fortress."", ""video_prompt"": ""8-second Level 10 operation of Sky Reaper Rice Fortress with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress\\Level_10_Sky_Reaper_Rice_Fortress.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress\\youtube_metadata.json""}",,2026-08-15 18:14:08.452704,2026-08-15 18:14:15.812898
12,7,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Sky Reaper Rice Fortress."", ""video_prompt"": ""8-second Level 10 operation of Sky Reaper Rice Fortress with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress\\Level_10_Sky_Reaper_Rice_Fortress.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Sky_Reaper_Rice_Fortress\\youtube_metadata.json""}",,2026-08-15 18:14:08.503391,2026-08-15 18:14:15.925668
13,8,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Rice Comb Superstructure."", ""video_prompt"": ""8-second Level 10 operation of The Rice Comb Superstructure with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\Level_10_The_Rice_Comb_Superstructure.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\youtube_metadata.json""}",,2026-08-15 18:14:15.891174,2026-08-15 18:14:23.475604
14,8,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Rice Comb Superstructure."", ""video_prompt"": ""8-second Level 10 operation of The Rice Comb Superstructure with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\Level_10_The_Rice_Comb_Superstructure.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\youtube_metadata.json""}",,2026-08-15 18:14:15.990874,2026-08-15 18:14:23.237563
15,8,3,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Rice Comb Superstructure."", ""video_prompt"": ""8-second Level 10 operation of The Rice Comb Superstructure with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\Level_10_The_Rice_Comb_Superstructure.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Rice_Comb_Superstructure\\youtube_metadata.json""}",,2026-08-15 18:14:23.174948,2026-08-15 18:14:59.533045
16,9,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Paddy-Gulping Harvest Worm."", ""video_prompt"": ""8-second Level 10 operation of Paddy-Gulping Harvest Worm with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm\\Level_10_Paddy-Gulping_Harvest_Worm.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm\\youtube_metadata.json""}",,2026-08-15 18:14:23.328167,2026-08-15 18:14:32.955486
17,9,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Paddy-Gulping Harvest Worm."", ""video_prompt"": ""8-second Level 10 operation of Paddy-Gulping Harvest Worm with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm\\Level_10_Paddy-Gulping_Harvest_Worm.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy-Gulping_Harvest_Worm\\youtube_metadata.json""}",,2026-08-15 18:14:23.531796,2026-08-15 18:14:34.923922
18,10,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Rice Moon Harvester."", ""video_prompt"": ""8-second Level 10 operation of Rice Moon Harvester with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester\\Level_10_Rice_Moon_Harvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester\\youtube_metadata.json""}",,2026-08-15 18:14:33.017960,2026-08-15 18:14:44.835471
19,10,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Rice Moon Harvester."", ""video_prompt"": ""8-second Level 10 operation of Rice Moon Harvester with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester\\Level_10_Rice_Moon_Harvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Moon_Harvester\\youtube_metadata.json""}",,2026-08-15 18:14:34.982934,2026-08-15 18:14:52.677241
20,11,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Infinite Rice Factory."", ""video_prompt"": ""8-second Level 10 operation of The Infinite Rice Factory with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Infinite_Rice_Factory"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Infinite_Rice_Factory\\Level_10_The_Infinite_Rice_Factory.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Infinite_Rice_Factory\\youtube_metadata.json""}",,2026-08-15 18:14:44.917150,2026-08-15 18:14:58.805906
21,11,2,failed,"{""image_prompt"": ""Level 10 Alien Megastructure for The Infinite Rice Factory."", ""video_prompt"": ""8-second Level 10 operation of The Infinite Rice Factory with 5-step HUD telemetry popups.""}",,[Errno 22] Invalid argument,2026-08-15 18:14:52.732655,2026-08-15 18:14:58.747748
22,12,1,success,"{""image_prompt"": ""Layer 1: Core Colossal Wheat Combine Titan titan subject. Layer 2: Wheat Field environment. Layer 3: Titanic chassis architecture. Layer 4: Quantum energy field glows. Layer 5: 16k photorealistic cinematic camera framing."", ""video_prompt"": ""STEP 1: Core Startup | STEP 2: Harvester Deployment | STEP 3: Intake Acceleration | STEP 4: Processing Wave | STEP 5: Full Output Stabilization. Camera smoothly pans across Colossal Wheat Combine Titan for 8 seconds.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Colossal_Wheat_Combine_Titan"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Colossal_Wheat_Combine_Titan\\Level_10_Colossal_Wheat_Combine_Titan.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Colossal_Wheat_Combine_Titan\\youtube_metadata.json""}",,2026-08-16 14:57:00.167503,2026-08-16 14:57:10.922832
23,13,1,success,"{""idea_id"": 12, ""idea_title"": ""The Solar Wheat Sifter"", ""video_prompt"": ""STEP 1: Core Startup | STEP 2: Harvester Deployment | STEP 3: Intake Acceleration | STEP 4: Processing Wave | STEP 5: Full Output Stabilization. Camera smoothly pans across The Solar Wheat Sifter for 8 seconds."", ""image_prompt"": ""Layer 1: Core The Solar Wheat Sifter titan subject. Layer 2: Wheat Field environment. Layer 3: Titanic chassis architecture. Layer 4: Quantum energy field glows. Layer 5: 16k photorealistic cinematic camera framing."", ""target_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Solar_Wheat_Sifter""}","{""folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Solar_Wheat_Sifter"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Solar_Wheat_Sifter\\Level_10_The_Solar_Wheat_Sifter.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Solar_Wheat_Sifter\\youtube_metadata.json""}",,2026-08-16 15:24:44.063857,2026-08-16 15:25:09.709266
